"","long","lat"
"V.1",-179.999994991044,90.0000025044782
"V.2",144.000017667543,-90.0000025044782
"V.3",-34.892147960881,26.8818248183239
"V.4",-34.21595923305,26.0331174648892
"V.5",-33.550726128647,25.1832199509915
"V.6",-32.89631204389,24.3329501917842
"V.7",-32.252525733481,23.4827760552252
"V.8",-31.618984706827,22.6330305130366
"V.9",-30.995251831822,21.7839218859881
"V.10",-30.380808014087,20.9356772778696
"V.11",-29.775188800761,20.088709915126
"V.12",-29.178366871085,19.2429224675614
"V.13",-28.58960456463,18.3983593314056
"V.14",-28.008382787019,17.5550922236448
"V.15",-27.434291726901,16.7131382197519
"V.16",-26.866948893683,15.8725126876526
"V.17",-26.305862513745,15.0332770990493
"V.18",-25.750759379519,14.1953554680877
"V.19",-25.20071058528,13.3597253655926
"V.20",-24.657027527347,12.5255022820665
"V.21",-24.117988998049,11.692607670334
"V.22",-23.583403752091,10.8609091954799
"V.23",-23.052780015851,10.0304034424096
"V.24",-22.525871902519,9.20097002903898
"V.25",-22.002187638476,8.37260639404712
"V.26",-21.481563299181,7.5451588581777
"V.27",-20.963507111014,6.71858174454063
"V.28",-20.447827828678,5.89275552482543
"V.29",-19.9340609993100,5.06765543959638
"V.30",-19.421988056855,4.24313677422042
"V.31",-18.9112265107220,3.41915043671289
"V.32",-18.401503153342,2.59558436928274
"V.33",-17.8924901356360,1.77233761319628
"V.34",-17.38388692928,0.94933386243389
"V.35",-16.875338364438,0.126430323353227
"V.36",-16.3666258750550,-0.696416386419108
"V.37",-15.8573669705390,-1.51933844171572
"V.38",-15.347233801809,-2.34238968363719
"V.39",-14.836007802812,-3.16573483713638
"V.40",-14.323251841441,-3.98938756259163
"V.41",-13.808747351642,-4.81350708878796
"V.42",-13.2920845220660,-5.63810302067891
"V.43",-12.7730721074150,-6.46337044554263
"V.44",-12.251245654826,-7.28929484922714
"V.45",-11.7264139190020,-8.11603716806477
"V.46",-11.198085126323,-8.94359825582914
"V.47",-10.6660407107360,-9.7721300842293
"V.48",-10.129816219377,-10.601601917414
"V.49",-9.58916576543498,-11.4321682884132
"V.50",-9.04359757529102,-12.2637984613756
"V.51",-8.493220931971,-13.0976595448757
"V.52",-7.93620534477901,-13.9327167652541
"V.53",-7.37323383262901,-14.7689829291157
"V.54",-6.803841942661,-15.6063777817376
"V.55",-6.227701825792,-16.4449645023697
"V.56",-5.644376349916,-17.284667958931
"V.57",-5.05342838292597,-18.1254744910434
"V.58",-4.45444811347301,-18.9673294571933
"V.59",-3.84708037171902,-19.8104770366436
"V.60",-3.23053285572001,-20.6544493614362
"V.61",-2.60466896169299,-21.4990620164636
"V.62",-1.969051557532,-22.3441749828476
"V.63",-1.32329815264200,-23.1895440813255
"V.64",-0.667026256430972,-24.0348551231954
"V.65",1.00179129844946e-05,-24.8795531555874
"V.66",0.677846276004607,-25.7229039331655
"V.67",1.10784088856361,-26.8818248183239
"V.68",1.12116690779942,-27.9242363366202
"V.69",1.13495097659645,-28.9644485340037
"V.70",1.14928210085731,-30.0017288726861
"V.71",1.16410243741748,-31.0356521733913
"V.72",1.17943471800027,-32.0660442662957
"V.73",1.19526987126071,-33.0928095287508
"V.74",1.21175346560548,-34.1159240550945
"V.75",1.22912861308035,-35.1351897698409
"V.76",1.24681965680433,-36.1505554465713
"V.77",1.26519564043601,-37.1623147834198
"V.78",1.28430352152595,-38.1705292520892
"V.79",1.30418865679909,-39.1753217959843
"V.80",1.3248337573391,-40.1767846226591
"V.81",1.34644468931643,-41.1750440906132
"V.82",1.36884973750648,-42.1702094828732
"V.83",1.39339903820909,-43.1618368371432
"V.84",1.41769220681783,-44.1499637194635
"V.85",1.44320381714147,-45.1354234129129
"V.86",1.46976866397947,-46.1183866722207
"V.87",1.49770488473677,-47.0990447426836
"V.88",1.5268657370679,-48.0775376431797
"V.89",1.55759198337944,-49.0540702793839
"V.90",1.58972909064141,-50.0287997456473
"V.91",1.62361003057584,-51.0019343627394
"V.92",1.65913256378861,-51.9736448853896
"V.93",1.69669913783221,-52.9441088985163
"V.94",1.73627079928403,-53.9135210625108
"V.95",1.77818329463046,-54.8820657924807
"V.96",1.82248806373369,-55.8499070129661
"V.97",1.86950388432888,-56.8172564598312
"V.98",1.91945241739895,-57.7842951330891
"V.99",1.97256695659273,-58.7512245233203
"V.100",2.02919840287884,-59.7181948946866
"V.101",2.08968847915917,-60.6854316434304
"V.102",2.15452810528034,-61.6530850337136
"V.103",2.22402037088675,-62.6213941221572
"V.104",2.29893602013757,-63.590481852166
"V.105",2.3796592511736,-64.5605599596046
"V.106",2.46722547798434,-65.5318060293913
"V.107",2.56206905791231,-66.5044113068228
"V.108",2.66556990261327,-67.4785260560608
"V.109",2.77857218077996,-68.4543278620239
"V.110",2.90293220976273,-69.4320079700087
"V.111",3.03994281630543,-70.411716644177
"V.112",3.1921136680412,-71.3936041486905
"V.113",3.36164259177891,-72.377820747711
"V.114",3.55216324815701,-73.364509875211
"V.115",3.76427946858681,-74.3545457954043
"V.116",4.0094375829002,-75.3477987346968
"V.117",4.29107744511791,-76.3438110704139
"V.118",4.61861062902941,-77.342637444069
"V.119",5.00362711188256,-78.3442778556622
"V.120",5.46289714252386,-79.3486844938693
"V.121",6.02007708114364,-80.3557753964202
"V.122",6.71003248213389,-81.3653456576398
"V.123",7.58442049307423,-82.3772245227988
"V.124",8.73332746713572,-83.3905445578727
"V.125",10.304173646043,-84.4038167816225
